Day,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Isha
1,06:22,07:48,12:18,15:05,16:47,18:13
2,06:22,07:48,12:18,15:05,16:47,18:13
3,06:23,07:48,12:18,15:05,16:47,18:13
4,06:24,07:50,12:19,15:06,16:48,18:14
5,06:25,07:50,12:20,15:06,16:48,18:15
6,06:25,07:51,12:20,15:06,16:49,18:15
7,06:22,07:47,12:17,15:04,16:47,18:13
8,06:22,07:48,12:18,15:05,16:47,18:13
9,06:22,07:48,12:18,15:05,16:47,18:13
10,06:23,07:48,12:18,15:05,16:47,18:13
11,06:24,07:50,12:19,15:06,16:48,18:14
12,06:25,07:50,12:20,15:06,16:48,18:15
13,06:25,07:51,12:20,15:06,16:49,18:15
14,06:22,07:47,12:17,15:04,16:47,18:13
15,06:22,07:48,12:18,15:05,16:47,18:13
16,06:22,07:48,12:18,15:05,16:47,18:13
17,06:23,07:48,12:18,15:05,16:47,18:13
18,06:24,07:50,12:19,15:06,16:48,18:14
19,06:25,07:50,12:20,15:06,16:48,18:15
20,06:25,07:51,12:20,15:06,16:49,18:15
21,06:22,07:47,12:17,15:04,16:47,18:13
22,06:22,07:48,12:18,15:05,16:47,18:13
23,06:22,07:48,12:18,15:05,16:47,18:13
24,06:23,07:48,12:18,15:05,16:47,18:13
25,06:24,07:50,12:19,15:06,16:48,18:14
26,06:25,07:50,12:20,15:06,16:48,18:15
27,06:25,07:51,12:20,15:06,16:49,18:15
28,06:22,07:47,12:17,15:04,16:47,18:13
29,06:22,07:48,12:18,15:05,16:47,18:13
30,06:22,07:48,12:18,15:05,16:47,18:13
31,06:23,07:48,12:18,15:05,16:47,18:13
