Day,Fajr,Dhuhr,Asr,Maghrib,Isha
1,06:40,12:45,15:15,16:51,19:30
2,06:40,12:45,15:15,16:51,19:30
3,06:40,12:45,15:15,16:51,19:30
4,06:40,12:45,15:15,16:52,19:30
5,06:40,12:40,15:15,16:52,19:30
6,06:40,12:45,15:15,16:53,19:30
7,06:30,12:45,15:15,16:51,19:30
8,06:40,12:45,15:15,16:51,19:30
9,06:40,12:45,15:15,16:51,19:30
10,06:40,12:45,15:15,16:51,19:30
11,06:40,12:45,15:15,16:52,19:30
12,06:40,12:40,15:15,16:52,19:30
13,06:40,12:45,15:15,16:53,19:30
14,06:30,12:45,15:15,16:51,19:30
15,06:40,12:45,15:15,16:51,19:30
16,06:40,12:45,15:15,16:51,19:30
17,06:40,12:45,15:15,16:51,19:30
18,06:40,12:45,15:15,16:52,19:30
19,06:40,12:40,15:15,16:52,19:30
20,06:40,12:45,15:15,16:53,19:30
21,06:30,12:45,15:15,16:51,19:30
22,06:40,12:45,15:15,16:51,19:30
23,06:40,12:45,15:15,16:51,19:30
24,06:40,12:45,15:15,16:51,19:30
25,06:40,12:45,15:15,16:52,19:30
26,06:40,12:40,15:15,16:52,19:30
27,06:40,12:45,15:15,16:53,19:30
28,06:30,12:45,15:15,16:51,19:30
29,06:40,12:45,15:15,16:51,19:30
30,06:40,12:45,15:15,16:51,19:30
31,06:40,12:45,15:15,16:51,19:30
